S. No.,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Severity,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Hotspot
14377,5572099,HN377449,11/17/2006 01:10:00 AM,001XX S CLARK ST,330,THEFT,AGGRAVATED,High,SMALL RETAIL STORE,TRUE,FALSE,112,1,42,32,3,1175558,1899605,2006,04/15/2016 08:55:02 AM,41.87989042,-87.63083203,"(41.879890416, -87.630832031)",Yes
14378,5572100,HN372707,5/29/07 7:30 PM,061XX S DR MARTIN LUTHER KING JR DR,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,APARTMENT,TRUE,TRUE,311,3,20,40,08B,1179974,1864409,2007,04/15/2016 08:55:02 AM,41.78320968,-87.61569688,"(41.783209684, -87.615696882)",No
14379,5572101,HN379835,6/2/07 12:01 AM,090XX S MAY ST,479,BATTERY,AGG: HANDS/FIST/FEET SERIOUS INJURY,High,SIDEWALK,FALSE,FALSE,2222,22,21,73,04B,1170241,1844847,2007,04/15/2016 08:55:02 AM,41.72974637,-87.6519492,"(41.729746374, -87.651949195)",Yes
14380,5572103,HN373886,5/30/07 12:08 PM,001XX N PINE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,ALLEY,TRUE,FALSE,1523,15,29,25,18,1139483,1900407,2007,04/15/2016 08:55:02 AM,41.88282512,-87.76327626,"(41.882825117, -87.763276263)",Yes
14381,5572104,HN371163,5/29/07 6:37 AM,125XX S EDBROOKE AVE,2027,NARCOTICS,POSS: CRACK,High,RESIDENCE,FALSE,FALSE,532,5,9,53,18,1179492,1821508,2007,04/15/2016 08:55:02 AM,41.66549495,-87.61876965,"(41.66549495, -87.618769654)",Yes
14382,5572105,HN379735,6/2/07 2:15 AM,063XX S ARTESIAN AVE,440,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,Low,SIDEWALK,FALSE,FALSE,825,8,15,66,08B,1161130,1862526,2007,04/15/2016 08:55:02 AM,41.77845328,-87.68483737,"(41.778453277, -87.684837367)",No
14383,5572106,HN378240,6/1/07 10:30 AM,079XX S ESSEX AVE,820,THEFT,$500 AND UNDER,Low,STREET,FALSE,FALSE,422,4,7,46,6,1194233,1852884,2007,04/15/2016 08:55:02 AM,41.7512458,-87.56379764,"(41.751245796, -87.563797643)",No
14384,5572107,HN377870,5/31/07 4:00 PM,047XX S WABASH AVE,320,THEFT,STRONGARM - NO WEAPON,Medium,SIDEWALK,FALSE,FALSE,231,2,3,38,3,1177512,1873717,2007,04/15/2016 08:55:02 AM,41.80880776,-87.6244419,"(41.808807759, -87.624441899)",No
14385,5572108,HN379597,6/1/07 11:15 PM,012XX S WABASH AVE,860,THEFT,RETAIL THEFT,High,GROCERY FOOD STORE,TRUE,FALSE,132,1,2,33,6,1176963,1894850,2007,04/15/2016 08:55:02 AM,41.86681074,-87.62581703,"(41.866810739, -87.625817031)",Yes
14386,5572109,HN373383,5/30/07 4:00 AM,067XX S JEFFERY BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,SIDEWALK,FALSE,TRUE,332,3,5,43,08B,1190704,1860712,2007,04/15/2016 08:55:02 AM,41.77281236,-87.57647707,"(41.772812361, -87.576477067)",No
14387,5572110,HN377473,6/1/07 1:33 AM,069XX S HOYNE AVE,2027,NARCOTICS,POSS: CRACK,High,STREET,TRUE,FALSE,735,7,17,67,18,1163556,1858744,2007,04/15/2016 08:55:02 AM,41.76802441,-87.67604944,"(41.768024406, -87.676049438)",Yes
14388,5572112,HN370476,5/28/07 7:15 PM,023XX W WARREN BLVD,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,High,SIDEWALK,TRUE,FALSE,1332,12,2,28,26,1160792,1900294,2007,04/15/2016 08:55:02 AM,41.88209996,-87.6850316,"(41.882099961, -87.685031596)",Yes
14389,5572113,HN375671,5/31/07 9:18 AM,053XX W CHICAGO AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),High,SIDEWALK,TRUE,FALSE,1524,15,37,25,18,1140789,1904819,2007,04/15/2016 08:55:02 AM,41.89490828,-87.75837196,"(41.894908283, -87.758371958)",Yes
14390,5572114,HN379864,6/2/07 4:30 AM,054XX S PULASKI RD,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,GAS STATION,FALSE,TRUE,815,8,23,62,08B,1150630,1868137,2007,04/15/2016 08:55:02 AM,41.79406157,-87.72318542,"(41.794061571, -87.72318542)",No
14391,5572115,HN379937,6/1/07 11:00 PM,050XX W BARRY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,High,STREET,FALSE,FALSE,2521,25,30,19,14,1142241,1920142,2007,04/15/2016 08:55:02 AM,41.93692942,-87.75265805,"(41.936929418, -87.752658048)",Yes
14392,5572116,HN379026,6/1/07 6:38 PM,045XX S GREENWOOD AVE,460,BATTERY,SIMPLE,Low,PARK PROPERTY,FALSE,FALSE,2123,2,4,39,08B,1184350,1875033,2007,04/15/2016 08:55:02 AM,41.81226145,-87.59932061,"(41.812261446, -87.599320612)",No
14393,5572117,HN371594,5/27/07 11:00 PM,008XX E 79TH ST,460,BATTERY,SIMPLE,Low,CTA BUS,FALSE,FALSE,624,6,6,69,08B,1183016,1852803,2007,04/15/2016 08:55:02 AM,41.75129148,-87.60490439,"(41.751291477, -87.604904392)",No
14394,5572118,HN378656,6/1/07 4:00 PM,021XX E 95TH PL,810,THEFT,OVER $500,High,RESIDENCE,FALSE,FALSE,431,4,7,51,6,1191733,1842040,2007,04/15/2016 08:55:02 AM,41.72154985,-87.57330966,"(41.721549849, -87.573309663)",Yes
14395,5572119,HN377041,5/31/07 8:27 PM,031XX S MILLARD AVE,502P,BATTERY,FALSE/STOLEN/ALTERED TRP,Low,STREET,FALSE,FALSE,1032,10,22,30,26,1152537,1883481,2007,04/15/2016 08:55:02 AM,41.83613026,-87.71578812,"(41.83613026, -87.715788115)",No
14396,5572120,HN373108,5/29/07 10:55 PM,051XX N BROADWAY,1320,CRIMINAL DAMAGE,TO VEHICLE,High,STREET,FALSE,FALSE,2033,20,46,3,14,1167390,1934115,2007,04/15/2016 08:55:02 AM,41.97476725,-87.65982834,"(41.974767249, -87.659828337)",Yes
14397,5572122,HN370860,5/28/07 1:00 PM,073XX S PHILLIPS AVE,460,BATTERY,SIMPLE,Low,RESIDENCE,FALSE,FALSE,334,3,7,43,08B,1193920,1856783,2007,04/15/2016 08:55:02 AM,41.76195263,-87.56481698,"(41.761952631, -87.564816976)",No
14398,5572123,HN380036,6/2/07 1:00 AM,010XX N RUSH ST,460,BATTERY,SIMPLE,Low,TAVERN/LIQUOR STORE,FALSE,FALSE,1824,18,42,8,08B,1176264,1907593,2007,04/15/2016 08:55:02 AM,41.90179402,-87.62799862,"(41.901794019, -87.627998616)",No
14399,5572124,HN373930,5/30/07 11:30 AM,021XX N ELSTON AVE,810,THEFT,OVER $500,High,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1432,14,32,22,6,1164551,1914302,2007,04/15/2016 08:55:02 AM,41.92046017,-87.67083136,"(41.92046017, -87.67083136)",Yes
14400,5572126,HN379546,6/1/07 11:27 PM,009XX W 71ST ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,STREET,TRUE,FALSE,733,7,17,68,18,1171104,1857753,2007,04/15/2016 08:55:02 AM,41.76514336,-87.64841145,"(41.765143364, -87.648411447)",Yes
14401,5572127,HN376577,5/31/07 4:41 PM,131XX S ELLIS AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),High,CHA PARKING LOT/GROUNDS,FALSE,FALSE,533,5,9,54,18,1185279,1818451,2007,04/15/2016 08:55:02 AM,41.65697248,-87.59768703,"(41.656972482, -87.59768703)",Yes
14402,5572128,HN376690,5/31/07 5:30 PM,022XX S SAWYER AVE,502P,BATTERY,FALSE/STOLEN/ALTERED TRP,Low,STREET,FALSE,FALSE,1024,10,24,30,26,1155044,1888885,2007,04/15/2016 08:55:02 AM,41.85090965,-87.70644423,"(41.850909651, -87.706444228)",No
14403,5572129,HN365950,5/25/07 1:30 AM,071XX S STATE ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,VEHICLE NON-COMMERCIAL,FALSE,TRUE,323,7,6,69,08B,1177519,1857812,2007,04/15/2016 08:55:02 AM,41.76516269,-87.62489689,"(41.765162688, -87.624896894)",No
14404,5572130,HN379851,6/2/07 4:15 AM,058XX S LAFAYETTE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,APARTMENT,FALSE,TRUE,233,2,20,40,08B,1176979,1866222,2007,04/15/2016 08:55:02 AM,41.78825281,-87.62662282,"(41.788252809, -87.626622824)",No
14405,5572131,HN379743,6/2/07 2:30 AM,064XX S CENTRAL PARK AVE,460,BATTERY,SIMPLE,Low,SIDEWALK,FALSE,FALSE,823,8,13,65,08B,1153422,1861849,2007,04/15/2016 08:55:02 AM,41.77675152,-87.71311351,"(41.776751521, -87.713113511)",No
14406,5572132,HN379609,6/2/07 12:18 AM,035XX W 61ST ST,051A,ASSAULT,AGGRAVATED: HANDGUN,High,STREET,TRUE,FALSE,823,8,15,66,04A,1153648,1863936,2007,04/15/2016 08:55:02 AM,41.78247409,-87.71222973,"(41.782474091, -87.712229733)",Yes
14407,5572133,HN378345,6/1/07 1:43 PM,013XX S CLINTON ST,820,THEFT,$500 AND UNDER,Low,DEPARTMENT STORE,TRUE,FALSE,131,1,2,28,6,1172924,1894302,2007,04/15/2016 08:55:02 AM,41.86539738,-87.64066078,"(41.865397377, -87.640660777)",No
14408,5572134,HN372795,5/29/07 8:00 PM,021XX W CHICAGO AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,STREET,TRUE,FALSE,1313,12,1,24,18,1162093,1905318,2007,04/15/2016 08:55:02 AM,41.89585917,-87.6801139,"(41.895859166, -87.680113895)",Yes
14409,5572135,HN373773,5/30/07 10:39 AM,050XX W GLADYS AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),High,ALLEY,TRUE,FALSE,1533,15,28,25,18,1142556,1897865,2007,04/15/2016 08:55:02 AM,41.87579298,-87.75205516,"(41.875792984, -87.752055161)",Yes
14410,5572137,HN374737,5/25/07 3:00 PM,059XX N GLENWOOD AVE,560,ASSAULT,SIMPLE,Low,"SCHOOL, PUBLIC, GROUNDS",FALSE,FALSE,2013,20,48,77,08A,1165910,1939379,2007,04/15/2016 08:55:02 AM,41.98924362,-87.66511973,"(41.989243623, -87.665119726)",No
14411,5572139,HN329231,4/30/07 10:00 PM,044XX N MEADE AVE,610,BURGLARY,FORCIBLE ENTRY,Low,RESIDENCE-GARAGE,FALSE,FALSE,1622,16,38,15,5,1134884,1928920,2007,04/15/2016 08:55:02 AM,41.96115073,-87.77948802,"(41.961150726, -87.779488024)",No
14412,5572141,HN377527,6/1/07 3:46 AM,015XX S CENTRAL PARK AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,STREET,TRUE,FALSE,1014,10,24,29,18,1152621,1892306,2007,04/15/2016 08:55:02 AM,41.86034547,-87.71524682,"(41.860345472, -87.715246819)",Yes
14413,5572142,HN378665,6/1/07 12:30 PM,092XX S COMMERCIAL AVE,870,THEFT,POCKET-PICKING,Low,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,423,4,10,46,6,1197746,1844398,2007,04/15/2016 08:55:02 AM,41.72787262,-87.55120713,"(41.727872617, -87.551207132)",No
14414,5572144,HN376336,5/31/07 2:57 PM,0000X N LOTUS AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),High,SIDEWALK,TRUE,FALSE,1522,15,28,25,18,1139955,1899699,2007,04/15/2016 08:55:02 AM,41.88087366,-87.76156036,"(41.880873658, -87.761560357)",Yes
14415,5572145,HN378096,6/1/07 10:35 AM,073XX S JEFFERY BLVD,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,High,"SCHOOL, PRIVATE, BUILDING",FALSE,FALSE,333,3,5,43,04B,1190819,1856488,2007,04/15/2016 08:55:02 AM,41.76121859,-87.57619182,"(41.761218589, -87.576191815)",Yes
14416,5572146,HN379705,6/2/07 2:00 AM,071XX S KEDZIE AVE,460,BATTERY,SIMPLE,Low,STREET,FALSE,FALSE,831,8,18,66,08B,1156269,1857198,2007,04/15/2016 08:55:02 AM,41.76393165,-87.70280142,"(41.76393165, -87.702801419)",No
14417,5572147,HN377890,6/1/07 10:05 AM,045XX W JACKSON BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,SIDEWALK,FALSE,TRUE,1131,11,24,26,08B,1146319,1898306,2007,04/15/2016 08:55:02 AM,41.87693238,-87.73822742,"(41.876932377, -87.738227419)",No
14418,5572149,HN376796,5/31/07 6:12 PM,048XX W FULTON ST,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,High,SIDEWALK,TRUE,FALSE,1532,15,28,25,26,1143849,1901491,2007,04/15/2016 08:55:02 AM,41.88571904,-87.74721676,"(41.885719041, -87.747216756)",Yes
14419,5572150,HN378429,6/1/07 1:25 PM,035XX S GILES AVE,545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,Medium,"SCHOOL, PUBLIC, BUILDING",TRUE,FALSE,211,2,2,35,08A,1178842,1881615,2007,04/15/2016 08:55:02 AM,41.83045031,-87.61932306,"(41.830450306, -87.61932306)",Yes
14420,5572151,HN378143,6/1/07 12:00 PM,043XX W KAMERLING AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,RESIDENCE,FALSE,TRUE,2534,25,37,23,08B,1147140,1908630,2007,04/15/2016 08:55:02 AM,41.90524692,-87.73494857,"(41.905246915, -87.734948569)",No
14421,5572152,HN380057,6/1/07 5:30 PM,074XX S MICHIGAN AVE,890,THEFT,FROM BUILDING,Medium,RESIDENCE,FALSE,FALSE,323,3,6,69,6,1178448,1855692,2007,04/15/2016 08:55:02 AM,41.75932413,-87.62155615,"(41.759324128, -87.62155615)",No
14422,5572153,HN379567,6/2/07 12:15 AM,048XX S DREXEL BLVD,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,High,SIDEWALK,FALSE,FALSE,2124,2,4,39,04B,1183132,1873143,2007,04/15/2016 08:55:02 AM,41.8071036,-87.60384701,"(41.807103602, -87.60384701)",Yes
14423,5572154,HN378541,6/1/07 2:00 PM,104XX S EWING AVE,2820,BATTERY,TELEPHONE THREAT,Low,RESIDENCE,FALSE,FALSE,432,4,10,52,26,1202167,1836308,2007,04/15/2016 08:55:02 AM,41.70556166,-87.53528733,"(41.705561658, -87.535287326)",No
14424,5572156,HN380048,6/1/07 9:30 PM,019XX N HALSTED ST,1320,CRIMINAL DAMAGE,TO VEHICLE,High,ALLEY,FALSE,FALSE,1813,18,43,7,14,1170654,1912967,2007,04/15/2016 08:55:02 AM,41.9166653,-87.64844706,"(41.916665295, -87.648447057)",Yes
14425,5572157,HN379839,6/2/07 1:00 AM,030XX W 85TH ST,610,BURGLARY,FORCIBLE ENTRY,Low,RESIDENCE,FALSE,FALSE,835,8,18,70,5,1157486,1848093,2007,04/15/2016 08:55:02 AM,41.73892152,-87.698587,"(41.738921518, -87.698586996)",No
14426,5572159,HN379086,6/1/07 7:00 PM,066XX S MICHIGAN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,RESIDENCE,FALSE,TRUE,322,3,20,69,08B,1178076,1861174,2007,04/15/2016 08:55:02 AM,41.77437577,-87.62275353,"(41.77437577, -87.622753528)",No
14427,5572161,HN379489,6/1/07 11:07 PM,026XX S KOMENSKY AVE,2022,NARCOTICS,POSS: COCAINE,High,ALLEY,TRUE,FALSE,1031,10,22,30,18,1149806,1886097,2007,04/15/2016 08:55:02 AM,41.84336235,-87.72574133,"(41.843362347, -87.725741328)",Yes
14428,5572162,HN376447,5/31/07 3:46 PM,055XX W CONGRESS PKWY,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,High,SIDEWALK,TRUE,FALSE,1522,15,29,25,26,1139758,1897140,2007,04/15/2016 08:55:02 AM,41.87385503,-87.76234625,"(41.873855027, -87.762346249)",Yes
14429,5572163,HN378570,6/1/07 10:15 AM,082XX S COLES AVE,5001,BATTERY,OTHER CRIME INVOLVING PROPERTY,Low,RESIDENCE,FALSE,FALSE,424,4,7,46,26,1198248,1851028,2007,04/15/2016 08:55:02 AM,41.74605332,-87.54914696,"(41.746053316, -87.549146964)",No
14430,5572164,HN378249,6/1/07 1:49 PM,043XX W WABANSIA AVE,460,BATTERY,SIMPLE,Low,"SCHOOL, PUBLIC, BUILDING",TRUE,FALSE,2534,25,31,23,08B,1147025,1910941,2007,04/15/2016 08:55:02 AM,41.91159074,-87.73531182,"(41.911590736, -87.73531182)",No
14431,5572166,HN372662,5/29/07 7:25 PM,017XX E 75TH ST,502P,BATTERY,FALSE/STOLEN/ALTERED TRP,Low,VEHICLE NON-COMMERCIAL,TRUE,FALSE,324,3,8,43,26,1189063,1855592,2007,04/15/2016 08:55:02 AM,41.75880212,-87.58265624,"(41.758802119, -87.582656239)",No
14432,5572167,HN373028,5/29/07 9:58 PM,083XX S ASHLAND AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,High,STREET,FALSE,FALSE,614,6,21,71,04A,1167122,1849514,2007,04/15/2016 08:55:02 AM,41.74262049,-87.66324188,"(41.742620493, -87.663241882)",Yes
14433,5572170,HN379709,6/2/07 2:04 AM,059XX S FAIRFIELD AVE,460,BATTERY,SIMPLE,Low,STREET,FALSE,FALSE,824,8,16,66,08B,1159058,1865202,2007,04/15/2016 08:55:02 AM,41.78583923,-87.69236036,"(41.785839225, -87.692360359)",No
14434,5572171,HN378705,6/1/07 4:00 PM,016XX E 87TH ST,2825,BATTERY,HARASSMENT BY TELEPHONE,Low,OTHER,FALSE,FALSE,412,4,8,45,26,1188789,1847622,2007,04/15/2016 08:55:02 AM,41.73693825,-87.58391482,"(41.736938248, -87.58391482)",No
14435,5572173,HN372793,5/29/07 8:40 PM,005XX N KEDZIE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,PARKING LOT/GARAGE(NON.RESID.),TRUE,FALSE,1313,12,27,23,18,1154949,1903386,2007,04/15/2016 08:55:02 AM,41.89070383,-87.70640419,"(41.890703831, -87.70640419)",Yes
14436,5572175,HN378204,6/1/07 12:25 PM,021XX N LAWNDALE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,APARTMENT,FALSE,TRUE,2525,25,26,22,08B,1151367,1913821,2007,04/15/2016 08:55:02 AM,41.91940954,-87.7192848,"(41.919409536, -87.719284803)",No
14437,5572176,HN379785,6/2/07 3:04 AM,025XX W 63RD ST,460,BATTERY,SIMPLE,Low,RESTAURANT,FALSE,FALSE,825,8,15,66,08B,1160576,1862798,2007,04/15/2016 08:55:02 AM,41.77921113,-87.68686088,"(41.77921113, -87.686860878)",No
14438,5572178,HN373444,5/29/07 8:30 PM,087XX S LAFAYETTE AVE,820,THEFT,$500 AND UNDER,Low,APPLIANCE STORE,FALSE,FALSE,634,6,21,44,6,1177462,1847094,2007,04/15/2016 08:55:02 AM,41.73575252,-87.62542903,"(41.735752519, -87.625429032)",No
14439,5572179,HN377532,6/1/07 3:50 AM,002XX S LARAMIE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,SIDEWALK,TRUE,FALSE,1533,15,28,25,18,1141751,1898753,2007,04/15/2016 08:55:02 AM,41.87824469,-87.7549889,"(41.878244691, -87.754988896)",Yes
14440,5572180,HN380065,5/26/07 11:00 PM,042XX W JACKSON BLVD,880,THEFT,PURSE-SNATCHING,Medium,SIDEWALK,FALSE,FALSE,1115,11,28,26,6,1148270,1898351,2007,04/15/2016 08:55:02 AM,41.87701852,-87.73106271,"(41.877018518, -87.731062705)",No
14441,5572181,HN373534,5/25/07 3:00 PM,093XX S STATE ST,460,BATTERY,SIMPLE,Low,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,634,6,6,49,08B,1177935,1843153,2007,04/15/2016 08:55:02 AM,41.72492723,-87.62381517,"(41.724927226, -87.623815165)",No
14442,5572184,HN373837,5/30/07 11:46 AM,011XX S WABASH AVE,560,ASSAULT,SIMPLE,Low,RESTAURANT,TRUE,FALSE,132,1,2,32,08A,1176946,1895538,2007,04/15/2016 08:55:02 AM,41.86869904,-87.62585862,"(41.868699038, -87.625858624)",No
14443,5572186,HN377843,6/1/07 8:55 AM,022XX N HAMLIN AVE,484,BATTERY,PRO EMP HANDS NO/MIN INJURY,Low,"SCHOOL, PUBLIC, BUILDING",TRUE,FALSE,2525,25,30,22,08B,1150682,1914437,2007,04/15/2016 08:55:02 AM,41.92111333,-87.72178546,"(41.921113327, -87.721785463)",No
14444,5572187,HN377794,6/1/07 9:15 AM,039XX W ARTHINGTON ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,RESIDENCE,FALSE,TRUE,1132,11,24,26,08B,1150201,1895743,2007,04/15/2016 08:55:02 AM,41.86982447,-87.72404056,"(41.869824468, -87.724040559)",No
14445,5572188,HN372627,5/29/07 7:00 AM,016XX S TRUMBULL AVE,5002,BATTERY,OTHER VEHICLE OFFENSE,Low,STREET,FALSE,FALSE,1021,10,24,29,26,1153638,1891584,2007,04/15/2016 08:55:02 AM,41.85834407,-87.71153284,"(41.85834407, -87.711532838)",No
14446,5572189,HN379410,6/1/07 10:12 PM,050XX W KINZIE ST,2017,NARCOTICS,MANU/DELIVER:CRACK,High,STREET,TRUE,FALSE,1532,15,28,25,18,1142882,1902268,2007,04/15/2016 08:55:02 AM,41.88786929,-87.75074845,"(41.887869292, -87.750748449)",Yes
14447,5572190,HN379688,6/2/07 1:26 AM,038XX N KEDZIE AVE,460,BATTERY,SIMPLE,Low,STREET,FALSE,FALSE,1733,17,33,16,08B,1154374,1925259,2007,04/15/2016 08:55:02 AM,41.95073666,-87.70793006,"(41.950736661, -87.707930056)",No
14448,5572192,HN373764,5/30/07 10:40 AM,077XX S EVANS AVE,630,BURGLARY,ATTEMPT FORCIBLE ENTRY,Low,APARTMENT,FALSE,FALSE,624,6,6,69,5,1182564,1853918,2007,04/15/2016 08:55:02 AM,41.75436164,-87.60652622,"(41.754361644, -87.606526216)",No
14449,10514271,HZ256166,05/06/2016 01:00:00 AM,008XX W 33RD ST,4386,BATTERY,VIOLATION OF CIVIL NO CONTACT ORDER,Low,RESIDENCE,FALSE,TRUE,913,9,11,60,26,1171103,1883141,2016,05/13/2016 03:51:16 PM,41.83481079,-87.64767284,"(41.834810789, -87.647672836)",No
14450,5572193,HN377928,5/25/07 9:00 AM,072XX S COLES AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,High,APARTMENT,FALSE,FALSE,334,3,7,43,6,1194354,1857791,2007,04/15/2016 08:55:02 AM,41.76470801,-87.56319327,"(41.764708006, -87.563193271)",Yes
14451,5572194,HN375487,5/31/07 1:00 AM,005XX N AVERS AVE,497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,High,SIDEWALK,FALSE,TRUE,1122,11,27,23,04B,1150629,1903229,2007,04/15/2016 08:55:02 AM,41.89035852,-87.72227355,"(41.890358524, -87.722273552)",Yes
14452,5572195,HN379636,6/2/07 1:00 AM,064XX S MAPLEWOOD AVE,460,BATTERY,SIMPLE,Low,APARTMENT,FALSE,FALSE,825,8,15,66,08B,1160480,1861912,2007,04/15/2016 08:55:02 AM,41.7767818,-87.68723723,"(41.776781802, -87.68723723)",No
14453,5572200,HN379935,6/2/07 2:45 AM,107XX S YATES AVE,620,BURGLARY,UNLAWFUL ENTRY,Low,CHA APARTMENT,FALSE,FALSE,434,4,10,51,5,1194345,1834398,2007,04/15/2016 08:55:02 AM,41.70051577,-87.56399266,"(41.700515768, -87.563992657)",No
14454,5572201,HN379605,6/2/07 12:15 AM,063XX N LINCOLN AVE,460,BATTERY,SIMPLE,Low,ALLEY,FALSE,FALSE,1711,17,50,13,08B,1151825,1941814,2007,04/15/2016 08:55:02 AM,41.99621527,-87.71686214,"(41.996215265, -87.716862144)",No
14455,5572202,HN379890,6/2/07 4:15 AM,083XX S KEATING AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,STREET,TRUE,FALSE,834,8,18,70,18,1146161,1848749,2007,04/15/2016 08:55:02 AM,41.74094343,-87.74006364,"(41.74094343, -87.740063638)",Yes
14456,5572203,HN375976,5/31/07 11:45 AM,020XX N LECLAIRE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,APARTMENT,FALSE,TRUE,2522,25,37,19,08B,1142085,1913179,2007,04/15/2016 08:55:02 AM,41.91782513,-87.75340446,"(41.917825132, -87.753404455)",No
14457,5572204,HN369008,5/27/07 10:15 PM,025XX E 75TH ST,4510,BATTERY,PROBATION VIOLATION,Low,STREET,TRUE,FALSE,334,3,7,43,26,1194414,1855722,2007,04/15/2016 08:55:02 AM,41.75902904,-87.56304127,"(41.759029043, -87.563041266)",No
14458,5572206,HN379633,6/2/07 12:54 AM,055XX S DR MARTIN LUTHER KING JR DR,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,High,SIDEWALK,FALSE,FALSE,234,2,3,40,04B,1179866,1868466,2007,04/15/2016 08:55:02 AM,41.79434495,-87.61596874,"(41.794344947, -87.615968735)",Yes
14459,5572207,HN372029,5/29/07 2:10 PM,003XX N FRANCISCO AVE,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,High,SIDEWALK,TRUE,FALSE,1331,12,27,27,26,1156997,1902150,2007,04/15/2016 08:55:02 AM,41.88727083,-87.69891647,"(41.887270825, -87.698916468)",Yes
14460,5572208,HN374414,5/30/07 3:35 PM,083XX S MARSHFIELD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,High,APARTMENT,TRUE,FALSE,614,6,18,71,14,1166792,1849484,2007,04/15/2016 08:55:02 AM,41.74254521,-87.66445186,"(41.742545214, -87.664451864)",Yes
14461,5572209,HN379980,5/31/07 6:30 PM,017XX N LATROBE AVE,610,BURGLARY,FORCIBLE ENTRY,Low,RESIDENCE-GARAGE,FALSE,FALSE,2532,25,37,25,5,1141129,1911009,2007,04/15/2016 08:55:02 AM,41.9118881,-87.75697047,"(41.911888099, -87.756970466)",No
14462,5572210,HN379504,6/1/07 9:15 AM,060XX S WHIPPLE ST,890,THEFT,FROM BUILDING,Medium,APARTMENT,FALSE,FALSE,823,8,16,66,6,1157087,1864332,2007,04/15/2016 08:55:02 AM,41.78349191,-87.69961056,"(41.783491914, -87.699610557)",No
14463,5572211,HN379578,6/2/07 12:10 AM,079XX S SAGINAW AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,RESIDENCE,FALSE,FALSE,422,4,7,46,08B,1195225,1852886,2007,04/15/2016 08:55:02 AM,41.75122688,-87.56016246,"(41.75122688, -87.560162461)",No
14464,5572212,HN379565,6/1/07 11:30 PM,038XX N BERNARD ST,530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,High,STREET,TRUE,FALSE,1732,17,35,16,04A,1152713,1925345,2007,04/15/2016 08:55:02 AM,41.95100575,-87.71403353,"(41.951005748, -87.714033529)",Yes
14465,5572213,HN379337,6/1/07 10:09 PM,001XX S LOCKWOOD AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,SIDEWALK,TRUE,FALSE,1522,15,29,25,18,1141025,1899066,2007,04/15/2016 08:55:02 AM,41.879117,-87.75764693,"(41.879116997, -87.757646932)",Yes
