S. No.,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Severity,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Hotspot
5421,5553838,HN361959,7/24/07 11:15 AM,004XX W 60TH PL,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,High,RESIDENCE,FALSE,FALSE,711,7,20,68,04B,1174350,1864802,2007,04/15/2016 08:55:02 AM,41.78441507,-87.63630452,"(41.784415072, -87.636304519)",Yes
5422,5553840,HN363602,7/27/07 2:53 AM,035XX S INDIANA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,High,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,211,2,3,35,14,1178178,1881695,2007,04/15/2016 08:55:02 AM,41.83068495,-87.62175684,"(41.83068495, -87.621756841)",Yes
5423,5553841,HN361687,7/24/07 5:50 AM,039XX W FULLERTON AVE,610,BURGLARY,FORCIBLE ENTRY,Low,SMALL RETAIL STORE,FALSE,FALSE,2524,25,30,22,5,1149803,1915668,2007,04/15/2016 08:55:02 AM,41.92450846,-87.72498305,"(41.924508458, -87.72498305)",No
5424,5553842,HN363822,7/20/07 8:00 PM,027XX N HALSTED ST,1320,CRIMINAL DAMAGE,TO VEHICLE,High,STREET,FALSE,FALSE,1933,19,43,7,14,1170467,1918439,2007,04/15/2016 08:55:02 AM,41.93168482,-87.64897364,"(41.931684824, -87.648973638)",Yes
5425,5553848,HN356943,7/21/07 10:10 PM,079XX S ADA ST,2027,NARCOTICS,POSS: CRACK,High,ALLEY,TRUE,FALSE,612,6,21,71,18,1168704,1852279,2007,04/15/2016 08:55:02 AM,41.75017409,-87.65736582,"(41.750174085, -87.657365815)",Yes
5426,5553849,HN362901,7/24/07 1:00 PM,069XX S CRANDON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,High,APARTMENT,FALSE,FALSE,331,3,5,43,14,1192521,1859491,2007,04/15/2016 08:55:02 AM,41.76941777,-87.56985628,"(41.769417774, -87.569856281)",Yes
5427,5553850,HN361644,7/24/07 12:01 AM,048XX W WINNEMAC AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,High,STREET,FALSE,FALSE,1623,16,45,12,14,1143128,1933138,2007,04/15/2016 08:55:02 AM,41.97257504,-87.74907253,"(41.972575042, -87.749072533)",Yes
5428,5553852,HN363539,7/27/07 12:43 AM,049XX S COTTAGE GROVE AVE,610,BURGLARY,FORCIBLE ENTRY,Low,"SCHOOL, PRIVATE, BUILDING",FALSE,FALSE,223,2,4,38,5,1182422,1872430,2007,04/15/2016 08:55:02 AM,41.80516358,-87.60647316,"(41.805163581, -87.606473158)",No
5429,5553855,HN362392,7/24/07 11:30 AM,016XX N SPRINGFIELD AVE,610,BURGLARY,FORCIBLE ENTRY,Low,RESIDENCE,FALSE,FALSE,2535,25,30,23,5,1150130,1910626,2007,04/15/2016 08:55:02 AM,41.91066637,-87.72391315,"(41.910666373, -87.723913154)",No
5430,5553856,HN363827,7/27/07 12:01 AM,041XX N KILBOURN AVE,810,THEFT,OVER $500,High,STREET,FALSE,FALSE,1722,17,38,16,6,1145474,1927116,2007,04/15/2016 08:55:02 AM,41.95600598,-87.74059894,"(41.956005975, -87.740598942)",Yes
5431,5553858,HN360806,7/23/07 6:00 PM,131XX S LANGLEY AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),High,CHA PARKING LOT/GROUNDS,FALSE,FALSE,533,5,9,54,18,1183246,1818308,2007,04/15/2016 08:55:02 AM,41.65662744,-87.60513044,"(41.65662744, -87.605130437)",Yes
5432,5553859,HN005018,7/24/07 4:00 AM,019XX S MICHIGAN AVE,810,THEFT,OVER $500,High,PARKING LOT/GARAGE(NON.RESID.),TRUE,FALSE,132,1,3,33,6,1177519,1890982,2007,04/15/2016 08:55:02 AM,41.85618411,-87.62389325,"(41.856184107, -87.623893251)",Yes
5433,5553862,HN362439,7/24/07 3:20 PM,031XX E 83RD ST,460,BATTERY,SIMPLE,Low,STREET,FALSE,FALSE,424,4,7,46,08B,1198699,1850542,2007,04/15/2016 08:55:02 AM,41.74470841,-87.54751071,"(41.744708406, -87.547510707)",No
5434,5553866,HN362288,7/24/07 1:00 PM,034XX W EVERGREEN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,High,RESIDENCE,FALSE,FALSE,1422,14,26,23,14,1153203,1908769,2007,04/15/2016 08:55:02 AM,41.90551013,-87.71267337,"(41.905510127, -87.712673373)",Yes
5435,5553867,HN362020,7/24/07 11:15 AM,035XX S GILES AVE,460,BATTERY,SIMPLE,Low,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,211,2,2,35,08B,1178842,1881615,2007,04/15/2016 08:55:02 AM,41.83045031,-87.61932306,"(41.830450306, -87.61932306)",No
5436,5553868,HN355903,7/21/07 1:45 PM,062XX S WESTERN AVE,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,High,SIDEWALK,TRUE,FALSE,825,8,15,66,26,1161446,1863111,2007,04/15/2016 08:55:02 AM,41.78005205,-87.68366268,"(41.780052052, -87.683662683)",Yes
5437,5553870,HN361033,7/23/07 4:00 PM,017XX N NAGLE AVE,610,BURGLARY,FORCIBLE ENTRY,Low,APARTMENT,FALSE,FALSE,2513,25,36,25,5,1133037,1910788,2007,04/15/2016 08:55:02 AM,41.91142702,-87.78670376,"(41.911427015, -87.786703761)",No
5438,5553871,HM365865,7/22/06 1:17 PM,002XX N LARAMIE AVE,2095,NARCOTICS,ATTEMPT POSSESSION NARCOTICS,Low,SIDEWALK,TRUE,FALSE,1532,15,28,25,18,1141672,1901087,2006,04/15/2016 08:55:02 AM,41.88465094,-87.75522124,"(41.88465094, -87.75522124)",No
5439,5553872,HN362513,7/24/07 3:00 PM,072XX S JEFFERY BLVD,870,THEFT,POCKET-PICKING,Low,APARTMENT,FALSE,FALSE,333,3,5,43,6,1190801,1857187,2007,04/15/2016 08:55:02 AM,41.76313714,-87.57623524,"(41.763137138, -87.576235238)",No
5440,5553874,HN361729,7/24/07 9:32 AM,004XX E PERSHING RD,560,ASSAULT,SIMPLE,Low,GAS STATION,FALSE,FALSE,213,2,3,38,08A,1179996,1879223,2007,04/15/2016 08:55:02 AM,41.82386008,-87.61516241,"(41.82386008, -87.615162409)",No
5441,5553875,HN362010,7/24/07 11:40 AM,056XX S BISHOP ST,051A,ASSAULT,AGGRAVATED: HANDGUN,High,SIDEWALK,FALSE,FALSE,713,7,16,67,04A,1167627,1867360,2007,04/15/2016 08:55:02 AM,41.79158144,-87.66088034,"(41.791581444, -87.66088034)",Yes
5442,5553881,HN352366,7/19/07 2:29 PM,016XX S PULASKI RD,2027,NARCOTICS,POSS: CRACK,High,SIDEWALK,TRUE,FALSE,1014,10,24,29,18,1149988,1891432,2007,04/15/2016 08:55:02 AM,41.85799872,-87.72493471,"(41.857998719, -87.724934712)",Yes
5443,10513523,HZ255109,7/6/16 5:00 PM,003XX S HALSTED ST,1310,CRIMINAL DAMAGE,TO PROPERTY,High,OTHER,FALSE,FALSE,1232,12,27,28,14,1171105,1898553,2016,05/13/2016 03:51:16 PM,41.87710251,-87.64721361,"(41.877102512, -87.647213609)",Yes
